dataset,method,grid_runtime_s,n_points,status,mae,rmse,max_err,config
constant_velocity__clean_uniform,drv_savgol,0.16085169999860227,200,ok,2.013944566670034e-15,3.3150895140041425e-15,2.6201263381153694e-14,7
constant_velocity__clean_uniform,drv_spline,0.005806599976494908,200,ok,9.370282327836322e-15,1.1725805365751909e-14,2.842170943040401e-14,0
constant_velocity__clean_uniform,drv_kalman,0.07497060007881373,200,ok,4.3265346860721364e-12,7.327779433081914e-12,2.5977442419389263e-11,1
constant_velocity__clean_uniform,pnd_savgol,0.005163700086995959,200,ok,1.254552017826427e-15,3.5758144802969115e-15,1.8207657603852567e-14,3
constant_velocity__clean_uniform,pnd_butter,0.0015826000599190593,200,ok,1.6741145220628973e-05,0.00014003556799900018,0.0018302950586797095,3
constant_velocity__clean_uniform,pnd_spectral,0.0007824000203981996,200,ok,0.15825715716750166,0.39591215401208174,2.111245343491597,1
constant_velocity__clean_uniform,pnd_median,0.0006955000571906567,200,ok,0.028750000000006107,0.24395183950935936,2.3,0
constant_velocity__clean_uniform,pnd_tvr,0.048872899962589145,200,ok,2.2990123949018228e-08,4.5002236537295e-08,1.515569043597509e-07,0
constant_velocity__uneven_clean,drv_savgol,0.15268469997681677,200,ok,2.022826350867035e-15,2.8672141023185675e-15,1.4210854715202004e-14,7
constant_velocity__uneven_clean,drv_spline,0.005480899941176176,200,ok,8.968381592922015e-15,1.147139249735234e-14,3.064215547965432e-14,0
constant_velocity__uneven_clean,drv_kalman,0.07907540001906455,200,ok,4.7526778825801585e-08,1.6824192514517967e-07,1.534074691722509e-06,0
constant_velocity__uneven_clean,pnd_savgol,0.005192199954763055,200,ok,1.121325254871408e-15,2.5311137126818584e-15,1.3322676295501878e-14,3
constant_velocity__uneven_clean,pnd_butter,0.0016778999706730247,200,ok,1.8570518811857895e-05,0.00015061091025069177,0.0018302950586797095,3
constant_velocity__uneven_clean,pnd_spectral,0.0008262000046670437,200,ok,0.15708862807651905,0.3951368965432145,2.1112453434915954,1
constant_velocity__uneven_clean,pnd_median,0.000699999975040555,200,ok,0.02821692158303299,0.2415434829605049,2.3,0
constant_velocity__uneven_clean,pnd_tvr,0.04407579998951405,200,ok,2.3157697699449643e-08,4.5082086120806725e-08,1.5155690391566168e-07,0
constant_velocity__uneven_gaussian,drv_savgol,0.1527180999983102,200,ok,0.009517993811576255,0.01659444576435828,0.09342978555407555,6
constant_velocity__uneven_gaussian,drv_spline,0.009123899973928928,200,ok,0.0014859699542248417,0.0018006891580727956,0.0048544415069247115,3
constant_velocity__uneven_gaussian,drv_kalman,0.0805029000621289,200,ok,0.0129809870929059,0.015701958643135033,0.03151185430986869,3
constant_velocity__uneven_gaussian,pnd_savgol,0.007507299887947738,200,ok,0.01523120307891103,0.019488456817866862,0.06145698351225537,4
constant_velocity__uneven_gaussian,pnd_butter,0.001714400015771389,200,ok,0.05004697597518078,0.06697369864972552,0.29103790485436853,1
constant_velocity__uneven_gaussian,pnd_spectral,0.0007380000315606594,200,ok,0.163392993679606,0.33410310687508277,1.460342799764435,0
constant_velocity__uneven_gaussian,pnd_median,0.0006438000127673149,200,ok,0.41450451042148473,0.5486360140211968,2.299999999999977,0
constant_velocity__uneven_gaussian,pnd_tvr,0.07118970004376024,200,ok,0.00203158931414096,0.002504846450045128,0.004041332006255782,2
constant_velocity__uneven_uniformnoise,drv_savgol,0.1515699999872595,200,ok,0.005791624286939154,0.010117687273608185,0.033360327900717746,6
constant_velocity__uneven_uniformnoise,drv_spline,0.00731909996829927,200,ok,0.0037403960333464736,0.004852790559151257,0.013458977254781956,2
constant_velocity__uneven_uniformnoise,drv_kalman,0.0894986999919638,200,ok,0.006272757659232713,0.00877401987606395,0.02234752111489513,3
constant_velocity__uneven_uniformnoise,pnd_savgol,0.007775500067509711,200,ok,0.005882532215810676,0.009168795987364824,0.028476798240105072,4
constant_velocity__uneven_uniformnoise,pnd_butter,0.0015025000320747495,200,ok,0.03046862617147771,0.03950881021752154,0.18415254806900583,1
constant_velocity__uneven_uniformnoise,pnd_spectral,0.0008080999832600355,200,ok,0.16200641088530054,0.3300172004854791,1.4254239600327487,0
constant_velocity__uneven_uniformnoise,pnd_median,0.0006353999488055706,200,ok,0.2590283247199722,0.38332201689990153,2.3000000000000353,0
constant_velocity__uneven_uniformnoise,pnd_tvr,0.050709899980574846,200,ok,0.0008803559053206111,0.0012748913493893911,0.0027188823761061798,2
constant_velocity__uneven_outliers,drv_savgol,0.14910409995354712,200,ok,0.8618098337135913,1.8012005312289814,10.911959502956343,6
constant_velocity__uneven_outliers,drv_spline,0.010590699966996908,200,ok,65.52101894401319,247.04852283164738,1895.894550111702,5
constant_velocity__uneven_outliers,drv_kalman,0.07761699997354299,200,ok,0.9449682732652036,1.1555158551497755,2.372452540368697,3
constant_velocity__uneven_outliers,pnd_savgol,0.00799029995687306,200,ok,0.9845949746801519,1.457995712152809,4.954986819683137,4
constant_velocity__uneven_outliers,pnd_butter,0.001444400055333972,200,ok,1.4960472269172151,2.3224841827768663,12.565215724110654,0
constant_velocity__uneven_outliers,pnd_spectral,0.0007530999137088656,200,ok,1.754734068524449,2.169370607925308,4.858401847810657,0
constant_velocity__uneven_outliers,pnd_median,0.0006633000448346138,200,ok,2.2275397667779235,10.734341387603903,73.59466274907392,0
constant_velocity__uneven_outliers,pnd_tvr,0.2970893000019714,200,ok,10.454645217064822,25.117505036211686,129.3565660067544,2
constant_velocity__missing_noisy,drv_savgol,0.11900820001028478,156,ok,0.009261207698664387,0.015329004510060404,0.07240959708403283,6
constant_velocity__missing_noisy,drv_spline,0.006306800059974194,156,ok,0.0012734728808183576,0.0015001988419485906,0.0039073397861173476,2
constant_velocity__missing_noisy,drv_kalman,0.05640309990849346,156,ok,0.012961435192802857,0.01477090786620136,0.029071298424210745,3
constant_velocity__missing_noisy,pnd_savgol,0.00799920002464205,156,ok,0.011105025360890527,0.012629451176199234,0.023604067286263408,4
constant_velocity__missing_noisy,pnd_butter,0.0023355999728664756,156,ok,0.03799648627641593,0.05056541247560905,0.1871659790777338,1
constant_velocity__missing_noisy,pnd_spectral,0.009267300018109381,156,ok,0.16376484004231578,0.3472266956281867,1.3841721493777221,0
constant_velocity__missing_noisy,pnd_median,0.0006486000493168831,156,ok,0.3511962984374833,0.463134463870558,2.3000000000000274,0
constant_velocity__missing_noisy,pnd_tvr,0.060937799979001284,156,ok,0.0030376042929176074,0.0036744902507728004,0.0050459003663925195,2
constant_acceleration__clean_uniform,drv_savgol,0.1560221000108868,200,ok,4.443390100306033e-15,8.000754460164388e-15,5.3290705182007514e-14,6
constant_acceleration__clean_uniform,drv_spline,0.005216400022618473,200,ok,1.0507705816564794e-14,1.338796167023097e-14,3.907985046680551e-14,0
constant_acceleration__clean_uniform,drv_kalman,0.07433999993372709,200,ok,0.010957843732100025,0.045463435398459866,0.32063032108864,0
constant_acceleration__clean_uniform,pnd_savgol,0.0048723999643698335,200,ok,0.0009175038687390452,0.0068720877144312666,0.06519965655786564,0
constant_acceleration__clean_uniform,pnd_butter,0.0017809000564739108,200,ok,0.00038359133922255263,0.0025663801970901633,0.029718441208748447,3
constant_acceleration__clean_uniform,pnd_spectral,0.0008980999700725079,200,ok,0.6487007472339856,1.748525459598628,10.55188408125907,0
constant_acceleration__clean_uniform,pnd_median,0.000686699990183115,200,ok,0.21800251256284356,1.8506251942262262,17.500000000000142,0
constant_acceleration__clean_uniform,pnd_tvr,0.052935499930754304,200,ok,0.01173719912620757,0.05217555847942987,0.3612835427991865,0
constant_acceleration__uneven_clean,drv_savgol,0.15260369994211942,200,ok,4.538036613155327e-15,8.585847150505849e-15,7.105427357601002e-14,7
constant_acceleration__uneven_clean,drv_spline,0.005525100044906139,200,ok,6.4059868520871536e-15,7.620894649196405e-15,1.7763568394002505e-14,0
constant_acceleration__uneven_clean,drv_kalman,0.07818289997521788,200,ok,0.010700895516646965,0.044890034049764195,0.31724398427193423,0
constant_acceleration__uneven_clean,pnd_savgol,0.005053799948655069,200,ok,0.002387774316998229,0.008152746302453582,0.0705594891969541,0
constant_acceleration__uneven_clean,pnd_butter,0.0017402999801561236,200,ok,0.0029674003206701777,0.004995845278069843,0.04365852685709182,3
constant_acceleration__uneven_clean,pnd_spectral,0.0008015999337658286,200,ok,0.6524611728303874,1.7524726753310178,10.552440220762914,0
constant_acceleration__uneven_clean,pnd_median,0.0007277000695466995,200,ok,0.21834013834820062,1.8339186120773447,17.500000000000142,0
constant_acceleration__uneven_clean,pnd_tvr,0.052532600006088614,200,ok,0.015227916505689186,0.052346772086506566,0.36164175652978514,0
constant_acceleration__uneven_gaussian,drv_savgol,0.14975600002799183,200,ok,0.009517993811574284,0.016594445764359984,0.0934297855541324,6
